"filename", "language", "C++", "Markdown", "comment", "blank", "total"
"/home/spadea/working2/milvus/internal/core/src/index/inverted/indexer/IndexDirectory.h", "C++", 131, 0, 26, 28, 185
"/home/spadea/working2/milvus/internal/core/src/index/inverted/indexer/IndexMeta.h", "C++", 39, 0, 6, 11, 56
"/home/spadea/working2/milvus/internal/core/src/index/inverted/indexer/IndexReader.h", "C++", 44, 0, 12, 14, 70
"/home/spadea/working2/milvus/internal/core/src/index/inverted/indexer/IndexWriter.h", "C++", 214, 0, 30, 40, 284
"/home/spadea/working2/milvus/internal/core/src/index/inverted/indexer/IndexWriterTest.cpp", "C++", 162, 0, 22, 49, 233
"/home/spadea/working2/milvus/internal/core/src/index/inverted/indexer/LogMergePolicy.h", "C++", 84, 0, 7, 16, 107
"/home/spadea/working2/milvus/internal/core/src/index/inverted/indexer/MergePolicy.h", "C++", 23, 0, 11, 9, 43
"/home/spadea/working2/milvus/internal/core/src/index/inverted/indexer/Searcher.h", "C++", 61, 0, 10, 12, 83
"/home/spadea/working2/milvus/internal/core/src/index/inverted/indexer/SegmentEntry.h", "C++", 17, 0, 4, 9, 30
"/home/spadea/working2/milvus/internal/core/src/index/inverted/indexer/SegmentManager.h", "C++", 121, 0, 10, 20, 151
"/home/spadea/working2/milvus/internal/core/src/index/inverted/indexer/SegmentManagerTest.cpp", "C++", 138, 0, 10, 34, 182
"/home/spadea/working2/milvus/internal/core/src/index/inverted/indexer/SegmentMerger.h", "C++", 78, 0, 27, 21, 126
"/home/spadea/working2/milvus/internal/core/src/index/inverted/indexer/SegmentMergerTest.cpp", "C++", 168, 0, 13, 40, 221
"/home/spadea/working2/milvus/internal/core/src/index/inverted/indexer/SegmentRegister.h", "C++", 83, 0, 4, 17, 104
"/home/spadea/working2/milvus/internal/core/src/index/inverted/indexer/SegmentUpdater.h", "C++", 143, 0, 30, 35, 208
"/home/spadea/working2/milvus/internal/core/src/index/inverted/indexer/Stamper.h", "C++", 27, 0, 7, 11, 45
"/home/spadea/working2/milvus/internal/core/src/index/inverted/indexing/ArenaHashMap.h", "C++", 48, 0, 11, 15, 74
"/home/spadea/working2/milvus/internal/core/src/index/inverted/indexing/ArenaHashMapTest.cpp", "C++", 111, 0, 4, 26, 141
"/home/spadea/working2/milvus/internal/core/src/index/inverted/indexing/ExpUnrolledLinkedList.h", "C++", 102, 0, 26, 25, 153
"/home/spadea/working2/milvus/internal/core/src/index/inverted/indexing/ExpUnrolledLinkedListTest.cpp", "C++", 110, 0, 3, 24, 137
"/home/spadea/working2/milvus/internal/core/src/index/inverted/indexing/MemoryArena.h", "C++", 134, 0, 26, 30, 190
"/home/spadea/working2/milvus/internal/core/src/index/inverted/indexing/MemoryArenaTest.cpp", "C++", 72, 0, 1, 20, 93
"/home/spadea/working2/milvus/internal/core/src/index/inverted/indexing/SharedArenaHashMap.h", "C++", 232, 0, 34, 33, 299
"/home/spadea/working2/milvus/internal/core/src/index/inverted/native_inverted_index_design.md", "Markdown", 0, 320, 0, 133, 453
"/home/spadea/working2/milvus/internal/core/src/index/inverted/native_inverted_index_impl.md", "Markdown", 0, 68, 0, 15, 83
"/home/spadea/working2/milvus/internal/core/src/index/inverted/postings/BlockEncoder.h", "C++", 51, 0, 27, 16, 94
"/home/spadea/working2/milvus/internal/core/src/index/inverted/postings/PostingFormat.h", "C++", 264, 0, 44, 53, 361
"/home/spadea/working2/milvus/internal/core/src/index/inverted/postings/PostingFormatTest.cpp", "C++", 192, 0, 7, 31, 230
"/home/spadea/working2/milvus/internal/core/src/index/inverted/postings/PostingsSerializer.h", "C++", 132, 0, 57, 34, 223
"/home/spadea/working2/milvus/internal/core/src/index/inverted/postings/PostingsSerializerTest.cpp", "C++", 163, 0, 8, 16, 187
"/home/spadea/working2/milvus/internal/core/src/index/inverted/postings/PostingsWriter.h", "C++", 113, 0, 26, 21, 160
"/home/spadea/working2/milvus/internal/core/src/index/inverted/postings/PostingsWriterTest.cpp", "C++", 191, 0, 19, 43, 253
"/home/spadea/working2/milvus/internal/core/src/index/inverted/postings/Recorder.h", "C++", 86, 0, 82, 21, 189
"/home/spadea/working2/milvus/internal/core/src/index/inverted/postings/SegmentSerializer.h", "C++", 72, 0, 21, 18, 111
"/home/spadea/working2/milvus/internal/core/src/index/inverted/postings/SkipSerializer.h", "C++", 149, 0, 40, 35, 224
"/home/spadea/working2/milvus/internal/core/src/index/inverted/postings/SkipSerializerTest.cpp", "C++", 62, 0, 11, 19, 92
"/home/spadea/working2/milvus/internal/core/src/index/inverted/query/BoolQuery.h", "C++", 68, 0, 12, 18, 98
"/home/spadea/working2/milvus/internal/core/src/index/inverted/query/Query.h", "C++", 19, 0, 12, 10, 41
"/home/spadea/working2/milvus/internal/core/src/index/inverted/query/QueryTest.cpp", "C++", 162, 0, 6, 36, 204
"/home/spadea/working2/milvus/internal/core/src/index/inverted/query/TermQuery.h", "C++", 31, 0, 10, 12, 53
"/home/spadea/working2/milvus/internal/core/src/index/inverted/segment/SegmentMeta.h", "C++", 71, 0, 20, 17, 108
"/home/spadea/working2/milvus/internal/core/src/index/inverted/segment/SegmentReader.h", "C++", 78, 0, 18, 21, 117
"/home/spadea/working2/milvus/internal/core/src/index/inverted/storage/Allocator.h", "C++", 40, 0, 10, 10, 60
"/home/spadea/working2/milvus/internal/core/src/index/inverted/storage/AllocatorTest.cpp", "C++", 17, 0, 0, 8, 25
"/home/spadea/working2/milvus/internal/core/src/index/inverted/storage/BlockCache.h", "C++", 58, 0, 12, 14, 84
"/home/spadea/working2/milvus/internal/core/src/index/inverted/storage/BlockCacheTest.cpp", "C++", 18, 0, 1, 8, 27
"/home/spadea/working2/milvus/internal/core/src/index/inverted/storage/FileIO.h", "C++", 121, 0, 10, 21, 152
"/home/spadea/working2/milvus/internal/core/src/index/inverted/storage/FileIOTest.cpp", "C++", 29, 0, 2, 11, 42
"/home/spadea/working2/milvus/internal/core/src/index/inverted/termdict/SortedBlockKeyMap.h", "C++", 222, 0, 32, 50, 304
"/home/spadea/working2/milvus/internal/core/src/index/inverted/termdict/SortedBlockKeyMapTest.cpp", "C++", 201, 0, 18, 35, 254
"/home/spadea/working2/milvus/internal/core/src/index/inverted/termdict/TermDictionary.h", "C++", 23, 0, 15, 14, 52
"/home/spadea/working2/milvus/internal/core/src/index/inverted/termdict/TermMerger.h", "C++", 64, 0, 16, 17, 97
"Total", "-", 5039, 388, 870, 1296, 7593
